,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_solver,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
0,0.20955352783203124,0.024794637653554472,0.0012042999267578125,0.00039921362203680655,0.1,lbfgs,"{'C': 0.1, 'solver': 'lbfgs'}",1.0,0.9310344827586207,0.9655172413793104,0.9655172413793104,0.896551724137931,0.9517241379310345,0.035165651817881276,6,1.0,0.9326923076923078,0.9670588235294119,0.9679633867276888,0.9038901601830663,0.9543209356264949,0.033003053920677046,6
1,0.0009999275207519531,5.223489356090222e-07,0.0012005329132080077,0.0004001483389970446,0.1,liblinear,"{'C': 0.1, 'solver': 'liblinear'}",1.0,0.9655172413793104,0.9310344827586207,0.9310344827586207,0.9655172413793104,0.9586206896551724,0.025804533701889266,5,1.0,0.9670588235294119,0.9351851851851851,0.9324561403508772,0.9679633867276888,0.9605327071586327,0.02484456830727371,5
2,0.028814125061035156,0.003100406505314182,0.001203441619873047,0.0004005915919105899,0.1,newton-cg,"{'C': 0.1, 'solver': 'newton-cg'}",1.0,0.9310344827586207,0.9655172413793104,0.9655172413793104,0.896551724137931,0.9517241379310345,0.035165651817881276,6,1.0,0.9326923076923078,0.9670588235294119,0.9679633867276888,0.9038901601830663,0.9543209356264949,0.033003053920677046,6
3,2.0058920860290526,0.17879240196299107,0.0013993740081787109,0.0004878794192001835,0.1,sag,"{'C': 0.1, 'solver': 'sag'}",1.0,0.9310344827586207,0.9310344827586207,0.896551724137931,0.9310344827586207,0.9379310344827585,0.03378606541769901,13,1.0,0.9326923076923078,0.9351851851851851,0.9009661835748792,0.9351851851851851,0.9408057723275114,0.03231148319021254,14
4,3.131944990158081,0.20759349583363526,0.0014229297637939453,0.0005103568390069776,0.1,saga,"{'C': 0.1, 'solver': 'saga'}",1.0,0.9310344827586207,0.9310344827586207,0.896551724137931,0.9310344827586207,0.9379310344827585,0.03378606541769901,13,1.0,0.9326923076923078,0.9351851851851851,0.9009661835748792,0.9351851851851851,0.9408057723275114,0.03231148319021254,14
5,0.41631531715393066,0.08506067642837185,0.0013939857482910157,0.00047868737795582245,1,lbfgs,"{'C': 1, 'solver': 'lbfgs'}",1.0,1.0,0.9655172413793104,0.9655172413793104,0.896551724137931,0.9655172413793103,0.0377739694831149,1,1.0,1.0,0.9670588235294119,0.9679633867276888,0.9038901601830663,0.9677824740880334,0.035096216683344963,1
6,0.0011958599090576172,0.00040325502472343184,0.001018524169921875,3.831350217170842e-05,1,liblinear,"{'C': 1, 'solver': 'liblinear'}",1.0,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9448275862068964,0.027586206896551738,9,1.0,0.9326923076923078,0.9351851851851851,0.9363636363636364,0.9351851851851851,0.9478852628852629,0.02608487506933154,9
7,0.02849740982055664,0.00358188001796942,0.001008749008178711,5.246899072339361e-05,1,newton-cg,"{'C': 1, 'solver': 'newton-cg'}",1.0,1.0,0.9655172413793104,0.9655172413793104,0.896551724137931,0.9655172413793103,0.0377739694831149,1,1.0,1.0,0.9670588235294119,0.9679633867276888,0.9038901601830663,0.9677824740880334,0.035096216683344963,1
8,5.375429773330689,0.7481406861862204,0.001577138900756836,0.0005141654173589429,1,sag,"{'C': 1, 'solver': 'sag'}",1.0,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9448275862068964,0.027586206896551738,9,1.0,0.9326923076923078,0.9351851851851851,0.9363636363636364,0.9351851851851851,0.9478852628852629,0.02608487506933154,9
9,6.55590591430664,0.48940136813405966,0.001593303680419922,0.0004885711172741784,1,saga,"{'C': 1, 'solver': 'saga'}",1.0,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9448275862068964,0.027586206896551738,9,1.0,0.9326923076923078,0.9351851851851851,0.9363636363636364,0.9351851851851851,0.9478852628852629,0.02608487506933154,9
10,0.6641577243804931,0.11418182227338321,0.0010068416595458984,3.356235875967772e-05,10,lbfgs,"{'C': 10, 'solver': 'lbfgs'}",1.0,1.0,0.9655172413793104,0.9655172413793104,0.896551724137931,0.9655172413793103,0.0377739694831149,1,1.0,1.0,0.9670588235294119,0.9679633867276888,0.9038901601830663,0.9677824740880334,0.035096216683344963,1
11,0.0013955593109130859,0.0004917736901942475,0.000999116897583008,1.4035222030912035e-05,10,liblinear,"{'C': 10, 'solver': 'liblinear'}",0.9655172413793104,0.9655172413793104,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9448275862068967,0.01689303270884954,8,0.9679633867276888,0.9670588235294119,0.9351851851851851,0.9363636363636364,0.9351851851851851,0.9483512433982215,0.015652492584213133,8
12,0.03792099952697754,0.0032106190619986953,0.0010046005249023438,1.933490890117521e-05,10,newton-cg,"{'C': 10, 'solver': 'newton-cg'}",1.0,1.0,0.9655172413793104,0.9655172413793104,0.896551724137931,0.9655172413793103,0.0377739694831149,1,1.0,1.0,0.9670588235294119,0.9679633867276888,0.9038901601830663,0.9677824740880334,0.035096216683344963,1
