No1,No2,No3,No4,No5
-111.38930136741256,-104.12997961116808,-108.18065054992034,-96.53716122606568,-86.64666844026678
-16.608203283234317,-30.082916515834334,-25.418535309206202,-9.15095952241515,-29.260748618361603
23.26258859873507,13.58025977153065,24.031305025816962,16.670692366474626,25.600335511981665
-33.44043367146963,-21.854566017177405,-20.19358876964138,-21.46450913302347,-24.704453424980063
-1.8099896758159209,-3.875699877375654,2.594407255750149,2.9681555955174166,-8.411470436131832
0.5956503996050053,1.2694535871900139,-5.619652537492394,-7.434577735745106,0.6195913371553913
3.3291840645950592,-1.0585359479454879,2.624517875997321,10.153321484603474,-5.944126969777502
11.092220418147615,9.656238510924506,-0.5604245389386096,7.359611394421434,0.16601501999736504
-7.569683675417894,-8.17989721528019,-0.9345552455225118,0.19903732322696002,-3.5528186787823834
0.991294548559878,6.059057041555043,13.714371742199218,12.76101232345551,9.841517279297047
-0.5939573651787385,6.524566516239325,4.613960476167275,5.2381108010560595,4.073163298123804
0.7925223427082695,2.718052908851001,1.2865416954889817,8.752120818951804,2.010824865573161
5.895781979340616,7.021844828667757,-4.037840397209785,0.33406326151565485,1.6766274091314453
-6.326927387386279,-3.6314617383463497,2.29559875233677,2.5092617040084373,-0.3507765994156101
-0.9456960367151764,4.503406761340525,-5.102347480048945,-2.8537377515242928,2.352157306594778
-3.521455306884204,-5.809247884449804,0.9121027286659834,-5.4395884170137965,-3.4368816634642556
-0.48858755329385045,-0.32839988834015416,-6.660601723567015,-3.1548668957545147,-1.212625038098013
-1.7157547319550437,-1.2673095684153683,-3.008529119442931,-9.79567165787297,-4.759009893219075
0.5479349112621178,-0.8234095122231168,-2.844577354281171,3.2918058797684138,1.2894664247648455
0.8145348829118527,-0.03483581076305228,-2.080497190107759,0.5324294634538926,-4.85395632732239
11.079348092508043,13.388588806879634,14.18980311089808,17.257502547372923,10.170715747773833
-1.1402985619965555,-1.6612676152130257,-1.7608909811117655,-0.205341588283001,-3.2917309188721604
1.847281391810497,5.072232721165094,0.28621166649825125,1.4510769985918692,1.220314427346548
-4.082721908293831,-4.9945960556869835,-2.230316268965647,-0.4574096641956208,-3.0157471991105735
0.5082097308884499,0.5743089514165148,2.8142485149440946,1.4553918171097109,-2.6275700405799594
-0.5320873589235987,-4.505143161261804,-4.955779461085727,-1.1889595897888385,-2.3672449131445217
0.8656622444672146,1.9029973446406645,2.571838074115812,1.6575144682949992,1.7791132369833693
-0.10927328516337038,-3.9352428697050477,-0.7820616428610303,-3.211089324584906,3.6441500044814266
-5.3608955350508625,-4.199009306885566,-6.380690873847245,-5.195617430038491,-2.975344086201243
1.4566670318664539,2.9052103073791353,2.2853457618218105,1.7090196006060512,7.201375491508992
-2.1395959435301664,-4.767013530062628,0.9431916908291418,-0.45864016657057316,-1.6175565944785113
1.7904775931727284,2.7176619329890803,4.198704244189005,5.007248431240706,-0.9272185751630946
-0.5643918546699153,-1.0316946583401607,-3.2936015313816913,-3.5586023987368676,-0.6935494763150931
-4.19866990267033,-5.58568731243281,-3.799983464064528,-3.5163478017622762,-1.5468303767265794
1.675373381353919,2.3976528030917943,-1.266251099427386,0.6865928923796314,-5.512889740224095
-0.5190954234251896,0.07082286745058712,1.5690828522017093,2.7220841127627695,2.918952756910215
3.0564713238591255,-1.468628033828785,4.882291777162844,5.0164965473478995,2.1177827602584367
3.569534504033062,7.510999311912845,3.9875491401525984,8.149251990241169,2.559634845740086
-0.8057668926150607,-2.6145162488655673,1.1521435048201056,1.1271653184369648,-1.9874319845920134
1.2505732370261609,0.5373973215415873,1.1168785100818264,-0.6675614948873145,6.303402850471518
-0.09608100399232596,-2.6067684317735322,-2.297356151749748,-0.5944516227796479,-0.9968604345999412
1.2106328736229202,-2.377741292955744,-0.04302026209046475,-3.905137420230513,1.04990101418033
0.9550226950253999,-2.7360753692250666,-0.16045398397712266,-1.670164617340037,-4.05444346287865
0.622323546160688,-1.4492338385847292,-0.15510984552859164,2.5059344293421395,-2.136814804369557
0.9695206687252684,1.9509446231555176,1.9233417498473486,0.42586390781798084,1.3020399201971489
1.0784191875459153,4.05798014598119,2.6779459999857362,0.3166734056379913,2.566552173162985
1.5115010295620595,2.464934013755198,-0.15101126344351692,2.9898420249336377,-0.22325144046687959
-0.9129901298056653,-4.106704046861207,-3.254664613277261,0.1899787585066212,-2.6355874650409343
0.9283612763356648,0.3536649542737351,-0.09375837127551616,2.4750564237077195,-1.5217577769419217
-1.0126342044413155,-1.4264827700544638,-0.6285980261559507,-1.2711975447916943,-3.75902329643206
-0.8010622343476381,5.542490644719833,3.7954341446563804,3.83210917973778,1.6624181418780055
-3.354619618292724,3.795745080377623,-2.898634965579133,-1.9505427735061884,0.26570530394530073
1.2394135033921003,1.6693949451800174,2.185459334483135,2.6485115424254912,-1.830286139481217
4.096085789712294,0.4538660181985873,2.8766960564181,3.3541336132492825,1.4775829565413818
